date,n1,n2,n3,n4,n5,n6
2012-06-25,11,16,28,30,34,36
2012-06-28,17,21,27,29,33,40
2012-07-02,10,14,22,37,42,43
2012-07-05,14,18,31,40,42,43
2012-07-09,3,7,17,18,23,38
2012-07-12,7,18,20,24,39,40
2012-07-16,3,13,17,25,36,37
2012-07-19,8,10,20,31,41,43
2012-07-23,2,6,12,19,20,33
2012-07-26,5,16,17,18,19,29
2012-07-30,10,22,32,36,38,41
2012-08-02,12,21,23,28,40,42
2012-08-06,19,20,22,27,31,41
2012-08-09,1,4,10,17,19,40
2012-08-13,4,18,21,25,34,36
2012-08-16,1,6,19,29,41,43
2012-08-20,25,26,28,31,39,40
2012-08-23,2,8,25,30,33,34
2012-08-27,4,8,9,15,21,41
2012-08-30,5,17,19,22,29,42
2012-09-03,6,18,24,35,39,43
2012-09-06,1,21,28,32,35,38
2012-09-10,8,18,28,31,36,40
2012-09-13,22,25,26,31,40,43
2012-09-17,7,9,14,19,23,30
2012-09-20,3,10,14,27,30,38
2012-09-24,3,5,7,16,29,43
2012-09-27,13,16,20,30,38,43
2012-10-01,1,9,28,35,39,43
2012-10-04,10,13,15,16,22,34
2012-10-08,16,23,24,25,35,42
2012-10-11,8,14,15,27,39,42
2012-10-15,6,16,18,24,29,37
2012-10-18,16,17,20,21,33,43
2012-10-22,6,13,19,24,27,43
2012-10-25,6,25,26,27,37,39
2012-10-29,1,23,25,26,34,37
2012-11-01,3,5,7,41,42,43
2012-11-05,1,8,15,24,25,33
2012-11-08,8,11,16,23,33,36
2012-11-12,3,26,31,35,38,42
2012-11-15,7,16,18,23,35,40
2012-11-19,14,16,26,33,39,41
2012-11-22,1,8,11,17,21,28
2012-11-26,3,16,24,37,39,41
2012-11-29,2,20,28,30,32,37
2012-12-03,3,5,13,26,28,39
2012-12-06,4,5,18,28,36,41
2012-12-10,8,12,21,29,30,36
2012-12-13,1,2,9,16,35,42
2012-12-17,2,5,7,8,19,21
2012-12-20,6,11,22,24,38,42
2012-12-24,2,20,22,38,40,43
2012-12-27,9,16,18,22,23,40
2012-12-31,24,36,37,38,40,43
2013-01-03,2,3,17,18,24,37
2013-01-07,14,30,34,36,39,40
2013-01-10,5,12,17,32,39,41
2013-01-14,9,12,17,18,25,33
2013-01-17,4,6,10,15,16,24
2013-01-21,1,2,13,22,37,43
2013-01-24,5,6,28,32,33,43
2013-01-28,3,5,10,24,25,32
2013-01-31,22,27,30,35,41,43
2013-02-04,4,13,22,29,34,41
2013-02-07,4,8,28,35,41,42
2013-02-11,16,28,31,35,37,42
2013-02-14,5,23,25,28,31,35
2013-02-18,2,12,15,29,38,41
2013-02-21,6,12,17,25,26,32
2013-02-25,8,14,20,23,30,38
2013-02-28,5,9,14,19,21,43
2013-03-04,8,20,21,30,31,32
2013-03-07,2,11,15,25,33,35
2013-03-11,2,28,29,31,34,35
2013-03-14,1,11,32,34,37,40
2013-03-18,1,11,17,28,32,42
2013-03-21,9,23,25,26,29,32
2013-03-25,4,5,15,18,25,26
2013-03-28,1,6,24,34,36,39
2013-04-01,11,27,29,30,34,43
2013-04-04,2,16,22,27,30,34
